No	Investor	Tokens	TokenSubtotal
159	0x92011e50d2599171553d94d7a37914efe45539d0	54000	14595149.672024652948171
160	0x8ccb46475ece443f20feb8c61ce5a2500947c898	11800	14606949.672024652948171
161	0xb43daabb29cc80a442cdb86cc400251db6bb6280	10000	14616949.672024652948171
162	0x2003ca1797db527aeb021789633bc79f80f65810	210000	14826949.672024652948171
163	0x6e59d2e4ef1682ca1108b19dbe5caaecda387826	990	14827939.672024652948171
164	0x6461e1f300c550b0c152d2429314289e401288e7	3000	14830939.672024652948171
165	0xc42c81953bfd46be34d403ee5f4933981d4fd886	20000	14850939.672024652948171
166	0x00e0ea9173d9a4f181df4cb6189bb986157f4362	1438700	16289639.672024652948171
167	0x05af9d95a67079347ad86b4a57dbc942e1082ed9	18000	16307639.672024652948171
168	0x89cd10de4f783a29ad4bf0fdb889e54276ed0d06	5000	16312639.672024652948171
169	0x2703373402edaa685a2a1492c794657c449b011e	3000	16315639.672024652948171
170	0xed3b06784b969f938bbb5c6ca281cd0697382ba5	2000	16317639.672024652948171
171	0x225fecc8cf8a127e54b36ba01c7a9135da6da46e	1000	16318639.672024652948171
172	0x347ae86b2448d5adf6cf8e2b8536ada71c5af22c	7500	16326139.672024652948171
173	0x8f65212d56de65a0effafafbf6e791a5c016bc45	500	16326639.672024652948171
174	0x650840f98ce7dabd5ed7bd314dea0db5f03b5c2e	481200	16807839.672024652948171
175	0x05205c67a5e0ca6e9929724bfbf2b1d83abea90c	1842.38244	16809682.054464652948171
176	0x22f37de9f21fb88cb77e287ee3d1046b6ba6f24d	5000	16814682.054464652948171
177	0xd93a8706fac801cbc7e03025c082e6484accbbae	60000	16874682.054464652948171
178	0xe5d93dd474988b60b354339da3a845d9cd35ec5f	20000	16894682.054464652948171
179	0xb7cc112f614d1969bdeb457f9f1b66882dfbb8b4	24000	16918682.054464652948171
180	0x8e8beed03ae73bb4e38870c3647d79e74dacda79	3000	16921682.054464652948171
181	0x665da7a8381571f76c13c18c59e7bc6fb0d7417d	2900	16924582.054464652948171
182	0xa115dafff759c099732284d01b0474cea013e3be	10000	16934582.054464652948171
183	0x22c1aa4e6a8e4ca606d05abcc579d2121394ae24	7400	16941982.054464652948171
184	0x115b3cabe345fc6d79020c0e337cab8745192915	10000	16951982.054464652948171
185	0x742a320ef7f054caf37b05dd785cc56bb46865b9	72000	17023982.054464652948171
186	0x87cddd3e4138150454ecb9dd6c2f0cfdb5291691	3630	17027612.054464652948171
187	0x00e32d61132320af76550f29701f45a20422f67c	36000	17063612.054464652948171
188	0xe67df4c1b0eac6ea8c28467941a30a25ef82a87f	40000	17103612.054464652948171
189	0xdfff88ecc6fbe227c31967359352e4f7b1937666	10000	17113612.054464652948171
190	0x9117388182feef5ca847a7658164a0a1add1bb30	2000	17115612.054464652948171
191	0x20814529347e97b1b87a93e794c23487fdfe2caa	2500	17118112.054464652948171
192	0xbd0bb54230e2d61c12e45a27f0dd138e30cb31be	300000	17418112.054464652948171
